Designator,Mid X,Mid Y,Rotation,Layer
C1,5.842,5.12,90.0,top
C2,13.462,4.806,90.0,top
C3,55.88,5.7203,90.0,top
C4,48.514,5.334,90.0,top
J1,10.6426,37.6866,270.0,top
J2 MATRIX +,1.7526,15.748,270.0,top
J8 BUZZER,1.778,25.634,270.0,top
J9 5V EXT.,12.466,14.5034,0.0,top
Q1,10.414,25.019,0.0,top
Q3,11.43,18.867,0.0,top
R1,31.928,25.066,180.0,top
R11,31.94,0.72,0.0,top
R2,31.928,22.018,0.0,top
R3,31.94,18.97,180.0,top
R4,31.94,15.922,180.0,top
R5,31.94,12.874,180.0,top
R6,31.94,9.864,0.0,top
R7,31.94,6.816,0.0,top
R8,31.94,3.768,0.0,top
U1,31.75,43.18,0.0,top
